url,text,permit_id,state_code,state_name,page_number
https://permitsearch.epa.gov/oms-permit-hub/permit/f4a756a6-19bc-ef11-b8e9-001dd800ba2a,,f4a756a6-19bc-ef11-b8e9-001dd800ba2a,NM,New Mexico,1
https://permitsearch.epa.gov/oms-permit-hub/permit/9a6670b0-19bc-ef11-b8e8-001dd8001877,,9a6670b0-19bc-ef11-b8e8-001dd8001877,NC,North Carolina,1
https://permitsearch.epa.gov/oms-permit-hub/permit/596770b0-19bc-ef11-b8e8-001dd8001877,,596770b0-19bc-ef11-b8e8-001dd8001877,NC,North Carolina,1
https://permitsearch.epa.gov/oms-permit-hub/permit/6ef53ed7-19bc-ef11-b8e9-001dd8024617,,6ef53ed7-19bc-ef11-b8e9-001dd8024617,OH,Ohio,1
https://permitsearch.epa.gov/oms-permit-hub/permit/d68338b4-19bc-ef11-b8e9-001dd808322c,,d68338b4-19bc-ef11-b8e9-001dd808322c,OH,Ohio,1
https://permitsearch.epa.gov/oms-permit-hub/permit/096a70b0-19bc-ef11-b8e8-001dd8001877,,096a70b0-19bc-ef11-b8e8-001dd8001877,OR,Oregon,1
https://permitsearch.epa.gov/oms-permit-hub/permit/376a70b0-19bc-ef11-b8e8-001dd8001877,,376a70b0-19bc-ef11-b8e8-001dd8001877,OR,Oregon,1
https://permitsearch.epa.gov/oms-permit-hub/permit/e56a70b0-19bc-ef11-b8e8-001dd8001877,,e56a70b0-19bc-ef11-b8e8-001dd8001877,RI,Rhode Island,1
https://permitsearch.epa.gov/oms-permit-hub/permit/c466ebb7-27d8-ef11-8eea-001dd800ba2a,,c466ebb7-27d8-ef11-8eea-001dd800ba2a,RI,Rhode Island,1
https://permitsearch.epa.gov/oms-permit-hub/permit/ed6670b0-19bc-ef11-b8e8-001dd8001877,,ed6670b0-19bc-ef11-b8e8-001dd8001877,SC,South Carolina,1
https://permitsearch.epa.gov/oms-permit-hub/permit/166770b0-19bc-ef11-b8e8-001dd8001877,,166770b0-19bc-ef11-b8e8-001dd8001877,SC,South Carolina,1
https://permitsearch.epa.gov/oms-permit-hub/permit/326870b0-19bc-ef11-b8e8-001dd8001877,,326870b0-19bc-ef11-b8e8-001dd8001877,TN,Tennessee,1
https://permitsearch.epa.gov/oms-permit-hub/permit/0e6970b0-19bc-ef11-b8e8-001dd8001877,,0e6970b0-19bc-ef11-b8e8-001dd8001877,TN,Tennessee,1
https://permitsearch.epa.gov/oms-permit-hub/permit/b48f4bd4-19bc-ef11-b8e8-001dd8001877,,b48f4bd4-19bc-ef11-b8e8-001dd8001877,UT,Utah,1
https://permitsearch.epa.gov/oms-permit-hub/permit/606270ad-19bc-ef11-b8e9-001dd8024617,,606270ad-19bc-ef11-b8e9-001dd8024617,UT,Utah,1
https://permitsearch.epa.gov/oms-permit-hub/permit/fff060bc-19bc-ef11-b8e8-001dd8001877,,fff060bc-19bc-ef11-b8e8-001dd8001877,VT,Vermont,1
https://permitsearch.epa.gov/oms-permit-hub/permit/b0922aca-19bc-ef11-b8e9-001dd800ba2a,,b0922aca-19bc-ef11-b8e9-001dd800ba2a,VT,Vermont,1
https://permitsearch.epa.gov/oms-permit-hub/permit/e0fbc1e2-b1da-ef11-8eea-001dd800ba2a,,e0fbc1e2-b1da-ef11-8eea-001dd800ba2a,WA,Washington,1
https://permitsearch.epa.gov/oms-permit-hub/permit/e5005ca0-19bc-ef11-b8e9-001dd800ba2a,,e5005ca0-19bc-ef11-b8e9-001dd800ba2a,WA,Washington,1
